date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,1.7,0.8,4,3.2,0,,,,,52
2019-01-02,-1.5,-5.6,1.4,0.4,0,,,,,59
2019-01-03,-4.9,-9.6,-1.1,0.5,10,,,,,200
2019-01-04,-2.5,-4.8,1.1,0,30,,,,,212
2019-01-05,-0.7,-2.5,0.7,1.7,30,,,,,0
2019-01-06,0,-0.7,0.5,0.1,40,,,,,0
2019-01-07,-0.7,-1.9,0.7,1,40,,,,,0
2019-01-08,0.4,-0.7,1.7,13.2,40,,,,,3
2019-01-09,-2.2,-4.1,-0.2,5.8,140,,,,,0
2019-01-10,-3.6,-6.6,-1.9,0.3,240,,,,,0
2019-01-11,-5.3,-9.5,-1.7,1.4,250,,,,,5
2019-01-12,-0.1,-1.6,1.4,9.6,250,,,,,1
2019-01-13,2.2,0.3,4.2,29.1,270,,,,,0
2019-01-14,0.9,-1.5,4.2,9.2,100,,,,,3
2019-01-15,-1.3,-5.2,3,0,160,,,,,211
2019-01-16,-2.1,-8.2,5.5,0,160,,,,,451
2019-01-17,2,-2.3,4.1,6.1,140,,,,,0
2019-01-18,-4.4,-9.3,-1.7,0,160,,,,,80
2019-01-19,-7.7,-10.8,-2.2,0,160,,,,,267
2019-01-20,-4.4,-10.8,0.4,0,160,,,,,26
2019-01-21,-2,-3.1,0,0,150,,,,,34
2019-01-22,-5.5,-10.9,-2.6,0,130,,,,,173
2019-01-23,-6.8,-12.9,-2.6,0.2,130,,,,,7
2019-01-24,-6.2,-7.6,-4.7,1,130,,,,,0
2019-01-25,-6.4,-10.9,-2.8,0.1,150,,,,,54
2019-01-26,0.8,-2.9,3.4,0.8,150,,,,,79
2019-01-27,1.5,-1.8,3,15.3,110,,,,,9
2019-01-28,-1.9,-2.6,-1.2,3.6,230,,,,,0
2019-01-29,-4.2,-10.2,0.9,0.3,300,,,,,288
2019-01-30,-4,-9.8,-1.2,3.1,300,,,,,3
2019-01-31,-5.2,-10.8,-1.4,3.3,320,,,,,176
2019-02-01,-1.1,-3.3,1,6.9,290,,,,,0
2019-02-02,1.4,-0.5,6.3,0.6,280,,,,,373
2019-02-03,-1.3,-4.4,1.1,2.8,270,,,,,0
2019-02-04,-5.6,-11.4,-1.2,0,310,,,,,494
2019-02-05,-5.1,-10.6,3.3,0,310,,,,,536
2019-02-06,-3.6,-9.9,6.4,0,310,,,,,540
2019-02-07,-0.9,-9.3,5.1,2.7,310,,,,,6
2019-02-08,1.7,-2.3,5.6,2,210,,,,,378
2019-02-09,5.1,3.3,7.1,0.4,180,,,,,75
2019-02-10,4.6,0.3,9.9,25.9,170,,,,,60
2019-02-11,-0.3,-1.5,1.9,3.1,140,,,,,145
2019-02-12,-1.5,-6.8,1.4,0,170,,,,,166
2019-02-13,-2,-8.2,8.2,0,170,,,,,560
2019-02-14,0.9,-5.3,10.8,0,160,,,,,561
2019-02-15,1.9,-3.8,11.3,0,150,,,,,572
2019-02-16,2.6,-4.8,13.3,0,130,,,,,574
2019-02-17,3.2,-3,15.8,0,110,,,,,578
